First,GCD,Steps,Second,GCD,Steps,
E,1,591,S,1,401,
E,1,588,S,1,405,
E,1,595,S,1,416,
E,6,572,S,6,408,
E,1,581,S,1,407,
E,1,596,S,1,417,
E,1,582,S,1,407,
E,1,621,S,1,423,
E,5,575,S,5,407,
E,2,620,S,2,433,
E,2,620,S,2,433,
E,1,603,S,1,425,
E,22,599,S,22,417,
E,1,611,S,1,421,
E,1,587,S,1,416,
E,1,574,S,1,405,
E,7,577,S,7,412,
E,1,603,S,1,427,
E,14,569,S,14,400,
E,2,570,S,2,400,
E,5,600,S,5,414,
E,1,605,S,1,415,
E,1,635,S,1,439,
E,3,613,S,3,408,
E,18,617,S,18,423,
E,1,587,S,1,404,
E,1,604,S,1,413,
E,1,585,S,1,410,
E,1,610,S,1,422,
E,1,597,S,1,423,
E,1,615,S,1,431,
E,1,612,S,1,423,
E,1,580,S,1,403,
E,1,609,S,1,418,
E,2,582,S,2,404,
E,1,584,S,1,407,
E,1,579,S,1,413,
E,1,576,S,1,403,
E,1,587,S,1,409,
E,2,596,S,2,421,
E,1,586,S,1,399,
E,1,610,S,1,423,
E,1,604,S,1,414,
E,1,601,S,1,422,
E,2,582,S,2,399,
E,1,585,S,1,407,
E,3,611,S,3,414,
E,1,627,S,1,421,
E,2,594,S,2,415,
E,4,593,S,4,406,
E,1,609,S,1,424,
E,2,586,S,2,408,
E,1,591,S,1,415,
E,1,632,S,1,428,
E,2,571,S,2,397,
E,2,622,S,2,423,
E,2,595,S,2,411,
E,3,586,S,3,406,
E,2,639,S,2,439,
E,1,583,S,1,416,
E,1,604,S,1,420,
E,1,570,S,1,410,
E,1,573,S,1,402,
E,7,598,S,7,408,
E,3,577,S,3,401,
E,46,584,S,46,409,
E,1,619,S,1,426,
E,1,614,S,1,428,
E,1,583,S,1,402,
E,1,631,S,1,439,
E,1,613,S,1,419,
E,1,580,S,1,406,
E,1,603,S,1,415,
E,1,624,S,1,430,
E,1,617,S,1,420,
E,2,618,S,2,424,
E,1,604,S,1,415,
E,2,607,S,2,421,
E,7,625,S,7,429,
E,1,602,S,1,417,
E,59,569,S,59,414,
E,1,583,S,1,413,
E,1,602,S,1,416,
E,4,588,S,4,415,
E,1,618,S,1,431,
E,1,608,S,1,417,
E,2,573,S,2,402,
E,2,597,S,2,423,
E,1,609,S,1,413,
E,1,637,S,1,431,
E,1,629,S,1,439,
E,1,598,S,1,412,
E,1,641,S,1,429,
E,1,603,S,1,416,
E,8,601,S,8,419,
E,1,598,S,1,420,
E,5,601,S,5,408,
E,1,610,S,1,432,
E,3,611,S,3,412,
E,1,607,S,1,411,
E,1,609,S,1,418,
E,1,632,S,1,427,
E,2,591,S,2,413,
E,1,584,S,1,405,
E,1,626,S,1,428,
E,122,615,S,122,423,
E,2,598,S,2,424,
E,2,606,S,2,415,
E,1,569,S,1,405,
E,1,626,S,1,433,
E,27,562,S,27,391,
E,4,627,S,4,429,
E,4,588,S,4,406,
E,1,619,S,1,437,
E,3,612,S,3,426,
E,1,601,S,1,423,
E,3,637,S,3,432,
E,1,583,S,1,401,
E,4,604,S,4,411,
E,1,587,S,1,402,
E,3,656,S,3,445,
E,1,609,S,1,422,
E,1,607,S,1,425,
E,1,614,S,1,423,
E,1,620,S,1,428,
E,7,629,S,7,432,
E,1,596,S,1,416,
E,1,579,S,1,399,
E,11,596,S,11,408,
E,1,600,S,1,416,
E,1,625,S,1,430,
E,1,618,S,1,424,
E,1,597,S,1,415,
E,1,542,S,1,384,
E,1,596,S,1,415,
E,1,593,S,1,408,
E,2,588,S,2,406,
E,1,591,S,1,412,
E,83,611,S,83,415,
E,1,597,S,1,416,
E,1,614,S,1,422,
E,1,613,S,1,424,
E,1,608,S,1,409,
E,16,598,S,16,419,
E,1,619,S,1,427,
E,1,591,S,1,409,
E,58,618,S,58,426,
E,3,565,S,3,404,
E,5,627,S,5,424,
E,1,561,S,1,397,
E,1,609,S,1,417,
E,1,608,S,1,421,
E,1,568,S,1,398,
E,2,616,S,2,430,
E,1,582,S,1,399,
E,4,643,S,4,440,
E,1,635,S,1,436,
E,1,572,S,1,395,
E,1,606,S,1,421,
E,2,599,S,2,420,
E,3,599,S,3,430,
E,1,578,S,1,396,
E,2,591,S,2,408,
E,3,599,S,3,417,
E,6,619,S,6,427,
E,3,613,S,3,422,
E,1,611,S,1,417,
E,1,588,S,1,400,
E,2,602,S,2,416,
E,1,631,S,1,432,
E,1,594,S,1,409,
E,7,597,S,7,409,
E,1,614,S,1,431,
E,4,598,S,4,405,
E,1,623,S,1,420,
E,1,586,S,1,403,
E,1,568,S,1,392,
E,1,641,S,1,434,
E,2,616,S,2,421,
E,1,603,S,1,421,
E,1,595,S,1,416,
E,1,577,S,1,409,
E,2,582,S,2,404,
E,2,595,S,2,417,
E,4,590,S,4,423,
E,1,593,S,1,406,
E,1,605,S,1,426,
E,3,595,S,3,414,
E,1,619,S,1,431,
E,1,613,S,1,427,
E,6,584,S,6,400,
E,1,608,S,1,424,
E,1,569,S,1,409,
E,1,577,S,1,413,
E,1,611,S,1,424,
E,1,606,S,1,423,
E,7,605,S,7,428,
E,1,570,S,1,393,
E,2,577,S,2,409,
E,2,579,S,2,402,
E,3,622,S,3,419,
E,1,610,S,1,407,
E,1,581,S,1,400,
E,1,602,S,1,411,
E,1,596,S,1,415,
E,1,626,S,1,418,
E,1,591,S,1,404,
E,2,637,S,2,430,
E,1,584,S,1,405,
E,2,583,S,2,396,
E,3,587,S,3,406,
E,1,590,S,1,415,
E,2,604,S,2,421,
E,2,617,S,2,435,
E,4,575,S,4,415,
E,1,608,S,1,420,
E,2,602,S,2,421,
E,2,586,S,2,411,
E,1,609,S,1,422,
E,3,615,S,3,419,
E,1,565,S,1,390,
E,1,596,S,1,410,
E,1,615,S,1,421,
E,1,646,S,1,441,
E,26,564,S,26,391,
E,1,620,S,1,438,
E,1,605,S,1,428,
E,4,593,S,4,403,
E,1,617,S,1,435,
E,1,599,S,1,417,
E,2,632,S,2,432,
E,1,604,S,1,420,
E,2,605,S,2,413,
E,1,628,S,1,435,
E,2,591,S,2,418,
E,2,618,S,2,433,
E,1,609,S,1,416,
E,5,603,S,5,419,
E,1,598,S,1,421,
E,1,539,S,1,392,
E,3,593,S,3,420,
E,2,606,S,2,425,
E,1,605,S,1,418,
E,1,589,S,1,397,
E,1,588,S,1,415,
E,1,590,S,1,415,
E,1,623,S,1,424,
E,2,599,S,2,418,
E,1,585,S,1,413,
E,3,605,S,3,419,
E,2,600,S,2,421,
E,10,587,S,10,406,
E,1,592,S,1,405,
E,5,631,S,5,435,
E,5,602,S,5,420,
E,1,616,S,1,434,
E,2,586,S,2,413,
E,1,581,S,1,406,
E,7,595,S,7,419,
E,2,557,S,2,398,
E,1,600,S,1,418,
E,1,602,S,1,410,
E,1,588,S,1,407,
E,1,614,S,1,425,
E,1,627,S,1,430,
E,6,607,S,6,421,
E,8,614,S,8,421,
E,2,602,S,2,417,
E,1,614,S,1,420,
E,2,614,S,2,422,
E,1,597,S,1,415,
E,1,606,S,1,412,
E,1,603,S,1,426,
E,2,590,S,2,399,
E,1,609,S,1,424,
E,1,595,S,1,401,
E,1,592,S,1,419,
E,6,598,S,6,416,
E,10,570,S,10,403,
E,2,574,S,2,414,
E,1,585,S,1,408,
E,2,563,S,2,399,
E,3,603,S,3,412,
E,1,566,S,1,400,
E,1,588,S,1,414,
E,2,616,S,2,423,
E,2,559,S,2,379,
E,2,618,S,2,428,
E,1,609,S,1,425,
E,1,577,S,1,404,
E,1,583,S,1,408,
E,1,607,S,1,422,
E,11,533,S,11,384,
E,1,601,S,1,419,
E,1,579,S,1,396,
E,1,612,S,1,423,
E,1,598,S,1,419,
E,4,625,S,4,429,
E,1,604,S,1,417,
E,1,606,S,1,423,
E,1,582,S,1,410,
E,2,543,S,2,386,
E,1,626,S,1,437,
E,3,600,S,3,419,
E,3,650,S,3,443,
E,1,590,S,1,425,
E,17,594,S,17,412,
E,1,637,S,1,435,
E,1,590,S,1,415,
E,1,601,S,1,420,
E,1,581,S,1,401,
E,1,630,S,1,433,
E,1,583,S,1,405,
E,9,585,S,9,401,
E,1,584,S,1,395,
E,1,565,S,1,400,
E,4,621,S,4,433,
E,2,598,S,2,420,
E,1,583,S,1,409,
E,3,600,S,3,437,
E,1,636,S,1,429,
E,1,626,S,1,432,
E,1,598,S,1,424,
E,3,578,S,3,409,
E,1,611,S,1,425,
E,11,613,S,11,428,
E,1,606,S,1,422,
E,1,577,S,1,409,
E,1,599,S,1,415,
E,1,624,S,1,425,
E,1,579,S,1,397,
E,3,588,S,3,404,
E,1,622,S,1,435,
E,1,603,S,1,423,
E,1,613,S,1,422,
E,2,574,S,2,411,
E,5,592,S,5,422,
E,3,605,S,3,423,
E,56,580,S,56,406,
E,1,575,S,1,397,
E,1,605,S,1,426,
E,1,623,S,1,428,
E,3,614,S,3,419,
E,1,572,S,1,403,
E,1,599,S,1,413,
E,1,628,S,1,436,
E,1,589,S,1,416,
E,21,571,S,21,404,
E,1,631,S,1,440,
E,2,602,S,2,424,
E,1,601,S,1,418,
E,1,587,S,1,412,
E,1,608,S,1,424,
E,1,611,S,1,418,
E,1,622,S,1,428,
E,19,630,S,19,432,
E,1,618,S,1,430,
E,5,595,S,5,414,
E,1,578,S,1,398,
E,1,610,S,1,427,
E,1,592,S,1,411,
E,6,594,S,6,405,
E,1,585,S,1,408,
E,142,616,S,142,434,
E,2,598,S,2,410,
E,1,598,S,1,420,
E,1,596,S,1,422,
E,10,590,S,10,405,
E,116,603,S,116,420,
E,1,600,S,1,414,
E,37,569,S,37,391,
E,1,596,S,1,425,
E,1,615,S,1,423,
E,1,592,S,1,409,
E,1,586,S,1,410,
E,1,605,S,1,418,
E,1,596,S,1,421,
E,1,614,S,1,425,
E,2,567,S,2,411,
E,2,595,S,2,411,
E,1,606,S,1,429,
E,1,634,S,1,439,
E,1,612,S,1,420,
E,1,593,S,1,422,
E,2,605,S,2,420,
E,1,601,S,1,405,
E,1,590,S,1,414,
E,1,571,S,1,395,
E,4,583,S,4,425,
E,1,588,S,1,413,
E,1,605,S,1,412,
E,1,625,S,1,438,
E,3,582,S,3,401,
E,1,592,S,1,409,
E,1,579,S,1,407,
E,1,589,S,1,415,
E,1,611,S,1,414,
E,1,575,S,1,405,
E,1,599,S,1,418,
E,11,608,S,11,421,
E,7,587,S,7,410,
E,1,623,S,1,429,
E,1,591,S,1,414,
E,5,583,S,5,407,
E,2,598,S,2,399,
E,1,626,S,1,436,
E,1,590,S,1,414,
E,10,570,S,10,409,
E,1,587,S,1,402,
E,1,586,S,1,409,
E,1,608,S,1,423,
E,1,617,S,1,424,
E,1,616,S,1,422,
E,1,594,S,1,416,
E,1,643,S,1,436,
E,2,592,S,2,420,
E,1,622,S,1,418,
E,1,586,S,1,407,
E,1,596,S,1,413,
E,1,580,S,1,402,
E,3,562,S,3,393,
E,1,584,S,1,407,
E,1,597,S,1,411,
E,1,598,S,1,420,
E,4,561,S,4,398,
E,1,607,S,1,419,
E,1,606,S,1,422,
E,1,590,S,1,407,
E,2,611,S,2,423,
E,1,616,S,1,444,
E,3,559,S,3,392,
E,1,609,S,1,418,
E,1,610,S,1,421,
E,1,570,S,1,399,
E,4,578,S,4,406,
E,1,620,S,1,431,
E,1,633,S,1,434,
E,17,580,S,17,407,
E,1,591,S,1,410,
E,1,593,S,1,399,
E,1,601,S,1,415,
E,1,620,S,1,417,
E,2,593,S,2,419,
E,38,611,S,38,419,
E,1,634,S,1,435,
E,1,608,S,1,429,
E,1,623,S,1,429,
E,1,566,S,1,406,
E,1,581,S,1,406,
E,1,620,S,1,428,
E,4,601,S,4,412,
E,1,573,S,1,404,
E,6,610,S,6,435,
E,2,605,S,2,413,
E,1,588,S,1,421,
E,3,594,S,3,421,
E,15,606,S,15,421,
E,1,609,S,1,404,
E,1,629,S,1,444,
E,1,574,S,1,404,
E,1,604,S,1,413,
E,23,588,S,23,403,
E,1,607,S,1,429,
E,1,590,S,1,405,
E,1,607,S,1,409,
E,1,594,S,1,417,
E,1,637,S,1,440,
E,4,589,S,4,404,
E,1,598,S,1,407,
E,1,616,S,1,417,
E,1,562,S,1,395,
E,4,572,S,4,407,
E,30,565,S,30,396,
E,3,611,S,3,428,
E,1,570,S,1,400,
E,14,577,S,14,408,
E,3,618,S,3,421,
E,1,609,S,1,417,
E,3,617,S,3,436,
E,21,565,S,21,393,
E,1,600,S,1,415,
E,101,594,S,101,412,
E,1,630,S,1,434,
E,1,620,S,1,425,
E,1,591,S,1,407,
E,1,580,S,1,413,
E,1,587,S,1,402,
E,1,583,S,1,404,
E,3,591,S,3,409,
E,2,619,S,2,432,
E,1,590,S,1,413,
E,1,614,S,1,424,
E,13,610,S,13,419,
E,1,606,S,1,416,
E,3,598,S,3,416,
E,1,607,S,1,410,
E,120,624,S,120,436,
E,1,593,S,1,407,
E,4,585,S,4,404,
E,2,616,S,2,424,
E,5,622,S,5,423,
E,1,585,S,1,415,
E,4,578,S,4,411,
E,2,603,S,2,421,
E,1,621,S,1,433,
E,1,592,S,1,408,
E,1,582,S,1,401,
E,8,622,S,8,426,
E,1,599,S,1,414,
E,2,619,S,2,425,
E,1,592,S,1,413,
E,1,591,S,1,412,
E,1,589,S,1,405,
E,1,597,S,1,408,
E,2,613,S,2,425,
E,1,588,S,1,413,
E,5,632,S,5,432,
E,2,606,S,2,416,
E,11,571,S,11,401,
E,33,576,S,33,403,
E,6,589,S,6,411,
E,1,614,S,1,413,
E,1,583,S,1,410,
E,1,596,S,1,419,
E,43,642,S,43,434,
E,1,578,S,1,402,
E,1,566,S,1,407,
E,1,603,S,1,430,
E,1,603,S,1,406,
E,12,615,S,12,425,
E,1,584,S,1,410,
E,1,593,S,1,410,
E,1,613,S,1,419,
E,3,597,S,3,412,
E,1,626,S,1,432,
E,1,587,S,1,416,
E,1,573,S,1,400,
E,1,600,S,1,414,
E,2,595,S,2,414,
E,2,577,S,2,406,
E,2,573,S,2,403,
E,1,584,S,1,406,
E,1,577,S,1,402,
E,1,622,S,1,430,
E,1,628,S,1,436,
E,1,598,S,1,412,
E,1,583,S,1,414,
E,1,614,S,1,430,
E,1,608,S,1,420,
E,1,583,S,1,404,
E,1,593,S,1,405,
E,1,600,S,1,413,
E,1,597,S,1,414,
E,1,583,S,1,401,
E,3,611,S,3,417,
E,2,586,S,2,409,
E,1,582,S,1,410,
E,3,598,S,3,422,
E,2,645,S,2,438,
E,1,599,S,1,408,
E,1,593,S,1,422,
E,1,577,S,1,406,
E,1,579,S,1,405,
E,1,582,S,1,402,
E,2,607,S,2,428,
E,1,598,S,1,428,
E,1,600,S,1,414,
E,1,592,S,1,415,
E,1,640,S,1,445,
E,1,591,S,1,395,
E,2,621,S,2,427,
E,2,581,S,2,399,
E,1,588,S,1,406,
E,7,571,S,7,406,
E,1,604,S,1,406,
E,1,567,S,1,396,
E,2,636,S,2,436,
E,5,595,S,5,399,
E,1,578,S,1,398,
E,1,619,S,1,428,
E,1,600,S,1,406,
E,1,590,S,1,405,
E,8,587,S,8,399,
E,5,587,S,5,406,
E,1,584,S,1,398,
E,1,603,S,1,431,
E,8,628,S,8,428,
E,1,652,S,1,452,
E,40,576,S,40,399,
E,1,583,S,1,407,
E,2,607,S,2,420,
E,1,610,S,1,417,
E,1,610,S,1,422,
E,1,631,S,1,429,
E,6,617,S,6,422,
E,2,630,S,2,426,
E,3,599,S,3,418,
E,3,572,S,3,398,
E,5,584,S,5,419,
E,1,602,S,1,413,
E,1,592,S,1,415,
E,4,629,S,4,425,
E,1,607,S,1,422,
E,31,574,S,31,400,
E,1,609,S,1,425,
E,1,581,S,1,408,
E,1,601,S,1,410,
E,1,581,S,1,408,
E,2,611,S,2,430,
E,1,611,S,1,415,
E,1,627,S,1,435,
E,1,603,S,1,416,
E,82,601,S,82,416,
E,3,605,S,3,421,
E,2,585,S,2,410,
E,3,582,S,3,403,
E,1,600,S,1,420,
E,1,580,S,1,401,
E,1,629,S,1,424,
E,1,598,S,1,415,
E,1,609,S,1,417,
E,1,613,S,1,420,
E,1,585,S,1,417,
E,1,583,S,1,413,
E,1,554,S,1,385,
E,1,601,S,1,411,
E,1,592,S,1,411,
E,11,609,S,11,417,
E,6,589,S,6,411,
E,1,587,S,1,410,
E,2,594,S,2,418,
E,3,603,S,3,422,
E,1,620,S,1,433,
E,3,603,S,3,408,
E,9,602,S,9,414,
E,6,589,S,6,415,
E,2,597,S,2,401,
E,1,619,S,1,435,
E,2,619,S,2,431,
E,1,595,S,1,411,
E,2,611,S,2,424,
E,1,635,S,1,436,
E,1,629,S,1,437,
E,2,608,S,2,424,
E,3,613,S,3,424,
E,7,611,S,7,418,
E,1,625,S,1,427,
E,1,595,S,1,415,
E,3,594,S,3,408,
E,1,588,S,1,415,
E,2,599,S,2,413,
E,1,613,S,1,421,
E,1,594,S,1,408,
E,1,601,S,1,416,
E,14,582,S,14,404,
E,4,613,S,4,427,
E,1,599,S,1,409,
E,1,616,S,1,420,
E,2,560,S,2,395,
E,6,626,S,6,420,
E,1,602,S,1,421,
E,1,611,S,1,434,
E,1,632,S,1,430,
E,1,577,S,1,399,
E,1,573,S,1,401,
E,1,572,S,1,402,
E,1,592,S,1,416,
E,2,591,S,2,411,
E,1,586,S,1,411,
E,1,599,S,1,412,
E,7,585,S,7,410,
E,19,595,S,19,408,
E,3,636,S,3,428,
E,1,589,S,1,407,
E,4,594,S,4,411,
E,3,581,S,3,415,
E,3,596,S,3,420,
E,2,603,S,2,418,
E,24,630,S,24,431,
E,7,588,S,7,412,
E,1,630,S,1,441,
E,4,630,S,4,430,
E,1,563,S,1,382,
E,4,606,S,4,425,
E,1,585,S,1,412,
E,1,592,S,1,424,
E,2,612,S,2,422,
E,1,601,S,1,432,
E,2,585,S,2,407,
E,8,619,S,8,426,
E,1,613,S,1,422,
E,1,597,S,1,426,
E,4,632,S,4,433,
E,5,599,S,5,417,
E,2,576,S,2,395,
E,2,593,S,2,420,
E,2,584,S,2,405,
E,1,619,S,1,435,
E,3,609,S,3,417,
E,1,592,S,1,409,
E,1,594,S,1,415,
E,1,628,S,1,427,
E,17,601,S,17,418,
E,1,588,S,1,413,
E,1,587,S,1,413,
E,1,602,S,1,414,
E,1,570,S,1,399,
E,1,603,S,1,418,
E,2,618,S,2,424,
E,1,588,S,1,415,
E,1,595,S,1,410,
E,3,611,S,3,422,
E,1,600,S,1,416,
E,1,584,S,1,402,
E,1,613,S,1,418,
E,1,549,S,1,382,
E,1,613,S,1,417,
E,2,590,S,2,404,
E,1,591,S,1,410,
E,1,627,S,1,449,
E,1,596,S,1,410,
E,14,611,S,14,420,
E,1,611,S,1,415,
E,2,603,S,2,417,
E,1,593,S,1,406,
E,2,592,S,2,419,
